Course,University,Department,Entry Requirements,URL
['Data and Decision Analytics MSc'],['University of Southampton'],['Faculty of Social Sciences'],"['You’ll need a 2:1 degree in a subject that involves some quantitative training, such as: ', ' ', 'computer science ', 'economics ', 'engineering ', 'mathematics ', 'physics ', 'statistics ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=53634&type=287&did=6917&url=https%3a%2f%2fwww.southampton.ac.uk%2fcourses%2fdata-decision-analytics-masters-msc%3futm_medium%3dadvertising%26utm_source%3dcentral-general-findamasters%26utm_campaign%3dpg2024%26utm_content%3doptimised_courses
['Finance with Risk Management (MSc)'],['University of Bath'],['School of Management'],"['You should have a 2:1 or above (or its international equivalent) undergraduate degree. Your degree can be in any discipline but you must have studied a subject with quantitative content. ', ' ', 'We may make an offer based on a lower grade if you can provide evidence of your suitability for the degree. ', ' ', 'If English is not your first language, you will need to pass an English language test.']",https://www.findamasters.com/common/clickCount.aspx?theid=26694&type=287&did=4409&url=https%3a%2f%2fwww.bath.ac.uk%2fcourses%2fpostgraduate-2024%2ftaught-postgraduate-courses%2fmsc-finance-with-risk-management%3futm_source%3dFAU%26utm_medium%3dpaid-referral%26utm_campaign%3dsom-msc-fau-2024%26utm_content%3dsom-ms-button-fin-risk
['Corporate and Financial Risk Management - MSc'],['University of Sussex'],['School of Mathematical and Physical Sciences'],"['You should normally have a lower second-class (2.2) undergraduate honours degree or above. ', ' ', 'Your qualification should have a reasonably high mathematics content, demonstrating knowledge in calculus, probability and statistics, and ideally some programming. You are suited to this course if your qualification is in mathematics, finance, economics, business, science, engineering or computing. You may also be considered for the course if you have other professional qualifications or experience of equivalent standing.']",https://www.findamasters.com/common/clickCount.aspx?theid=33817&type=287&did=4268&url=https%3a%2f%2fwww.sussex.ac.uk%2fstudy%2fmasters%2fcourses%2fcorporate-and-financial-risk-management-msc%3futm_source%3dfindamasters%26utm_medium%3dpaid_referral%26utm_campaign%3dpg-listings-mps%26utm_content%3dcorporate-financial-risk-management
['Statistics MSc'],['University of Southampton'],['Faculty of Social Sciences'],"['You’ll need a 2:1 degree in a subject with mathematical and statistic units from a recognised university. ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=50907&type=287&did=6917&url=https%3a%2f%2fwww.southampton.ac.uk%2fcourses%2fstatistics-masters-msc%3futm_medium%3dadvertising%26utm_source%3dcentral-general-findamasters%26utm_campaign%3dpg2024%26utm_content%3doptimised_courses
['MSc Big Data Science'],['Queen Mary University of London'],['School of Electronic Engineering and Computer Science'],"['A 2:1 or above at undergraduate level in Electronic Engineering, Computer Science, Mathematics or a related discipline. ', ' ', 'Find out more about how to apply for our postgraduate taught courses.']",https://www.findamasters.com/common/clickCount.aspx?theid=37406&type=211&did=2155&url=https%3a%2f%2fwww.qmul.ac.uk%2fpostgraduate%2ftaught%2fcoursefinder%2fcourses%2fbig-data-science-msc%2f
['MSc - Data Science'],['Leeds Beckett University'],"['School of Built Environment, Engineering & Computing']","['Students require a 2:2 or above in a computing related degree such as Computing, Computer Science, Business Information Technology or work experience of a similar level such as to evidence a significant understanding of technology, information systems and the role of data. All applications should be supported by a reference, either academic or professional.']",https://www.findamasters.com/common/clickCount.aspx?theid=52104&type=211&did=7674&url=https%3a%2f%2fwww.leedsbeckett.ac.uk%2fcourses%2fdata-science-msc
['MSc Data Science and Analytics'],"['Royal Holloway, University of London']",['Department of Computer Science'],"['2:1 degree in Computer Science, Economics, Mathematics, Physics, or other subjects that include a strong element of both mathematics and computing. ', ' ', 'Normally we require a UK 2:1 (Honours) or equivalent in relevant subjects but we will consider high 2:2 or relevant work experience. Candidates with professional qualifications in an associated area may be considered. Where a ‘good 2:2’ is considered, we would normally define this as reflecting a profile of 57% or above.']",https://www.findamasters.com/common/clickCount.aspx?theid=42154&type=211&did=2074&url=https%3a%2f%2fwww.royalholloway.ac.uk%2fstudying-here%2fpostgraduate%2fcomputer-science%2fdata-science-and-analytics%2f
['MSc - Data Science'],['University of Surrey'],['Faculty of Engineering and Physical Sciences'],"['A minimum of a 2:2 UK honours degree in computer science, electrical or electronic engineering, mathematics, physics, related disciplines with demonstrable exposure to programming and mathematics, or other alternative subjects related to data analysis, data science or informatics, or a recognised equivalent international qualification. ', ' ', ""We'll also consider relevant work experience if you don't meet these requirements.""]",https://www.findamasters.com/common/clickCount.aspx?theid=60121&type=211&did=3053&url=https%3a%2f%2fwww.surrey.ac.uk%2fpostgraduate%2fdata-science-msc
['Health Data Science (MSc)'],['University of St Andrews'],['School of Mathematics and Statistics'],"['- A 2.1 Honours undergraduate degree. If you studied your first degree outside the UK, see the international entry requirements. ', '- You should some have experience in statistical data analysis and some familiarity with methods such as sampling and regression. This might be through one of the following: ', '- an advanced secondary school or high school level qualification in statistics or another quantitative scientific subject ', '- undergraduate-level modules in a quantitative scientific subject ', '- relevant professional experience.']",https://www.findamasters.com/common/clickCount.aspx?theid=70074&type=211&did=7289&url=https%3a%2f%2fwww.st-andrews.ac.uk%2fsubjects%2finterdisciplinary%2fhealth-data-science-msc%2f
['Data Science for Business MSc'],['University of Stirling'],"['Business, Management and Law']",['A minimum of a second class Honours degree or equivalent. Applicants without these formal qualifications but with significant appropriate/relevant work/life experience are encouraged to apply.'],https://www.findamasters.com/common/clickCount.aspx?theid=42423&type=211&did=8075&url=https%3a%2f%2fwww.stir.ac.uk%2fcourses%2fpg-taught%2fdata-science-for-business%2f
['Data Science and Analytics - MSc'],['University of Hertfordshire'],"['School of Physics, Engineering and Computer Science']","['For admission to MSc Data Science and Analytics, the normal requirement is a good honours degree (or equivalent) in computer science or cognate discipline. The choice of award title students may be accepted on to will be determined by the award applied for and the prior learning of the student as demonstrated by the transcript for existing qualifications held by the applicant. ', ' ', 'Applicants whose first language is not English must demonstrate sufficient competence in English to benefit from the Programme.']",https://www.findamasters.com/common/clickCount.aspx?theid=73342&type=211&did=64&url=https%3a%2f%2fwww.herts.ac.uk%2fcourses%2fpostgraduate-masters%2fmsc-data-science-and-analytics
